"Travel Permit","35","25","24","24","21","25","12","16","23","17","20","29","23"
"Reporting Instructions","93","88","75","67","60","70","78","66","72","67","74","113","77"
"Investigation","179","170","182","122","111","145","164","117","129","110","132","189","146"
"Acceptance","67","83","56","84","55","37","69","67","62","62","40","81","64"
"Rejection","54","50","24","57","43","38","28","41","46","34","26","55","41"
"Cancellation","5","1","2","4","0","1","0","15","2","1","3","2","3"
"Pending","39","32","11","113","14","2","34","74","110","53","42","103","52"
"Progress Report","98","36","60","53","86","33","14","16","69","28","41","77","51"
"Violation","23","33","22","32","38","17","9","17","24","27","15","45","25"
"Probation Warrant","0","4","3","8","2","4","3","4","8","2","1","1","3"
"Parole Warrant","0","6","3","1","5","4","0","3","1","1","1","1","2"
"Closure","65","48","40","57","55","25","30","16","55","25","24","67","42"
"Discharge","19","7","8","15","7","17","2","1","12","8","5","33","11"
"New File","16","79","64","78","46","45","135","81","94","108","65","36","71"
"Updates","105","368","303","335","277","150","190","21","319","190","117","174","212"
"Revocation","0","0","0","0","0","0","0","0","0","0","0","0","0"
"File Deletion","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Total","798","1,030","877","1,050","821","613","768","555","1,026","733","606","1,006","824"
