"Travel Permit","18","17","9","17","11","35","14","16","12","10","17","11","16"
"Reporting Instructions","42","32","47","43","26","31","37","31","44","33","39","34","37"
"Investigation","67","63","76","62","48","72","31","67","80","50","55","31","59"
"Acceptance","52","46","28","35","30","32","45","28","33","30","38","30","36"
"Rejection","27","18","23","16","15","18","12","14","16","8","16","12","16"
"Cancellation","0","0","0","2","1","0","0","0","0","2","1","1","1"
"Pending","0","0","0","6","21","37","0","0","7","51","43","36","17"
"Progress Report","22","30","11","7","10","8","69","61","19","13","15","21","24"
"Violation","8","11","9","11","18","14","49","30","13","15","14","13","17"
"Probation Warrant","1","5","4","1","4","0","9","0","1","3","0","1","2"
"Parole Warrant","0","0","0","1","0","0","0","0","0","1","0","1","0"
"Closure","13","40","19","14","22","15","44","37","24","26","12","20","24"
"Discharge","6","13","22","12","5","12","15","5","11","15","3","8","11"
"New File","16","8","19","1","4","4","3","8","1","0","1","3","6"
"Updates","105","144","147","115","105","59","170","198","187","92","158","52","128"
"Revocation","0","0","4","0","0","0","0","0","0","0","0","0","0"
"File Deletion","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Total","377","427","418","343","320","337","498","495","448","349","412","274","392"
