"COUNTY","Jun-04","Jun-03","Jun-02","Jun-01","Jun-00","Jun-99","Jun-98","Jun-97","Jun-96","Jun-95","Jun-94","TOTAL"
"ADAMS","6","19","19","30","17","23","0","0","0","4","0","118"
"ALCORN","25","25","24","11","0","0","21","31","25","0","0","162"
"AMITE","28","12","11","11","0","0","0","0","0","0","0","62"
"ATTALA","5","11","9","6","5","7","14","10","2","0","0","69"
"BENTON","1","3","6","1","2","0","0","0","0","13","0","26"
"BOLIVAR","27","31","43","32","35","22","38","40","24","0","0","292"
"CALHOUN","2","9","20","14","9","11","5","12","0","5","0","87"
"CARROLL","10","3","2","0","1","2","0","5","3","2","0","28"
"CHICKASAW","36","18","17","20","16","15","7","11","2","0","0","142"
"CHOCTAW","1","5","5","3","6","6","6","4","1","0","0","37"
"CLAIBORNE","1","4","5","8","4","0","1","0","0","0","0","23"
"CLARKE","0","1","1","5","6","1","0","0","0","0","0","14"
"CLAY","10","12","10","17","15","19","18","29","8","0","0","138"
"COAHOMA","17","12","6","6","7","12","11","15","2","0","0","88"
"COPIAH","17","12","19","26","21","7","16","1","1","0","0","120"
"COVINGTON","7","4","3","0","0","0","0","0","0","0","0","14"
"DESOTO","16","15","17","14","31","33","2","0","0","0","0","128"
"FORREST","24","36","54","44","37","47","43","37","34","15","1","372"
"FRANKLIN","0","14","5","5","0","0","0","1","0","0","0","25"
"GEORGE","30","29","28","7","1","0","0","0","0","0","0","95"
"GREENE","0","7","7","4","0","0","0","0","0","0","0","18"
"GRENADA","7","8","5","9","10","18","10","21","5","1","0","94"
"HANCOCK","5","11","10","22","3","1","3","17","10","0","0","82"
"HARRISON","87","74","93","85","81","42","36","67","41","9","2","617"
"HINDS","56","48","53","67","68","53","59","59","51","22","5","541"
"HOLMES","13","24","26","23","7","11","15","3","9","2","0","133"
"HUMPHREYS","2","18","20","14","14","17","9","11","5","0","0","110"
"ISSAQUENA","0","0","0","2","1","0","0","0","0","0","0","3"
"ITTAWAMBA","1","2","0","1","2","1","6","11","9","1","0","34"
"JACKSON","39","61","81","22","15","8","4","10","9","1","0","250"
