"COUNTY","Jun-04","Jun-03","Jun-02","Jun-01","Jun-00","Jun-99","Jun-98","Jun-97","Jun-96","Jun-95","Jun-94","TOTAL"
"ADAMS","1","1","0","5","0","7","0","0","0","1","0","15"
"ALCORN","8","5","11","12","9","0","1","2","5","0","0","53"
"AMITE","0","2","0","7","0","0","0","0","0","0","0","9"
"ATTALA","1","3","4","3","8","8","1","1","1","0","0","30"
"BENTON","0","0","0","1","3","1","0","0","0","5","0","10"
"BOLIVAR","8","7","8","10","10","10","3","4","1","0","0","61"
"CALHOUN","0","3","13","6","10","7","2","0","0","0","0","41"
"CARROLL","5","2","4","5","0","0","0","0","0","7","0","23"
"CHICKASAW","6","6","5","5","9","4","2","3","2","1","0","43"
"CHOCTAW","2","1","0","2","2","5","0","0","0","0","0","12"
"CLAIBORNE","0","1","6","2","1","0","0","0","0","0","0","10"
"CLARKE","0","0","1","2","2","0","1","0","0","0","0","6"
"CLAY","6","5","1","4","14","5","2","1","1","0","0","39"
"COAHOMA","3","3","14","5","15","8","5","6","3","0","0","62"
"COPIAH","4","11","5","11","9","8","2","2","2","3","0","57"
"COVINGTON","3","1","2","2","0","0","0","0","0","1","0","9"
"DESOTO","9","17","14","13","15","15","4","0","0","0","0","87"
"FORREST","6","12","9","22","18","12","5","2","13","20","1","120"
"FRANKLIN","0","1","0","0","0","0","0","0","0","0","0","1"
"GEORGE","7","10","2","2","0","0","0","0","0","0","0","21"
"GREENE","0","0","0","2","1","0","0","0","0","0","0","3"
"GRENADA","3","1","2","8","2","5","5","0","5","4","0","35"
"HANCOCK","1","2","7","8","5","0","3","1","9","2","0","38"
"HARRISON","29","28","27","56","26","22","7","6","2","9","0","212"
"HINDS","11","21","16","30","28","35","9","8","17","50","1","226"
"HOLMES","2","3","3","5","9","10","1","0","0","0","0","33"
"HUMPHREYS","0","1","4","4","2","2","2","1","3","0","0","19"
"ISSAQUENA","0","1","1","0","0","0","0","0","0","0","0","2"
"ITTAWAMBA","1","1","0","3","1","1","0","0","1","1","0","9"
"JACKSON","14","11","7","14","6","5","5","1","11","5","0","79"
"JASPER","0","1","0","0","2","0","0","0","0","0","0","3"
"JEFFERSON","0","1","3","4","0","0","0","0","0","0","0","8"
"JEFF DAVIS","1","0","0","0","0","0","0","0","0","0","0","1"
"JONES","10","11","8","10","23","9","0","1","1","2","0","75"
"KEMPER","0","1","2","3","0","0","0","0","0","0","0","6"
"LAFAYETTE","6","4","10","8","5","5","2","0","0","0","0","40"
"LAMAR","4","0","2","2","0","0","0","0","0","2","0","10"
"LAUDERDALE","22","11","20","33","54","41","16","0","0","0","0","197"
"LAWRENCE","0","0","0","0","0","0","","0","0","0","0","0"
"LEAKE","5","6","10","0","0","0","0","0","0","0","0","21"
"LEE","7","13","10","23","10","6","4","2","8","11","0","94"
"LEFLORE","5","4","5","6","4","2","1","3","2","9","0","41"
"LINCOLN","3","6","4","12","10","8","2","0","0","5","0","50"
"LOWNDES","17","12","14","20","21","19","8","2","0","0","0","113"
"MADISON","7","6","2","2","2","5","2","0","1","3","0","30"
"MARION","7","5","6","1","1","0","0","0","0","1","0","21"
"MARSHALL","1","3","6","12","17","6","0","0","0","0","0","45"
"MONROE","8","9","4","10","11","11","6","2","1","2","0","64"
"MONTGOMERY","0","5","3","5","3","4","4","0","1","2","0","27"
"NESHOBA","17","10","9","0","0","0","0","0","0","0","0","36"
"NEWTON","8","5","5","5","0","0","0","0","0","0","0","23"
"NOXUBEE","0","0","3","1","0","1","2","1","0","0","0","8"
"OKTIBBEHA","15","2","5","6","9","6","3","2","1","0","0","49"
"PANOLA","11","15","7","17","7","6","0","0","0","0","0","63"
"PEARL RIVER","5","8","9","7","0","0","0","0","0","0","0","29"
"PERRY","0","0","0","0","0","0","1","0","0","1","0","2"
"PIKE","9","3","1","10","17","8","4","0","2","8","0","62"
"PONTOTOC","7","7","9","9","7","2","1","1","1","0","0","44"
"PRENTISS","3","7","7","7","2","3","5","2","5","2","0","43"
"QUITMAN","1","0","1","5","4","6","1","1","0","0","0","19"
"RANKIN","27","21","19","24","23","4","7","1","3","7","0","136"
"SCOTT","9","5","4","4","0","0","0","0","0","0","0","22"
"SHARKEY","0","2","1","1","1","0","0","1","0","0","0","6"
"SIMPSON","1","6","5","3","0","0","0","0","0","1","0","16"
"SMITH","3","1","1","2","1","0","0","0","0","0","0","8"
"STONE","0","1","3","2","0","2","0","0","0","0","0","8"
"SUNFLOWER","2","2","3","8","11","9","3","1","2","10","0","51"
"TALLAHATCHIE","2","1","3","6","0","0","2","0","4","2","0","20"
"TATE","1","7","2","4","2","3","0","0","0","0","0","19"
"TIPPAH","3","3","2","4","8","9","0","1","0","0","0","30"
"TISHOMINGO","3","0","1","0","1","0","1","2","1","0","0","9"
"TUNICA","0","0","0","4","3","6","0","0","1","0","0","14"
"UNION","6","4","6","8","8","4","3","2","1","7","0","49"
"WALTHALL","1","1","0","4","3","3","4","2","3","1","0","22"
"WARREN","10","10","5","14","11","8","3","4","0","1","0","66"
"WASHINGTON","4","8","6","15","19","14","3","1","4","9","1","84"
"WAYNE","6","6","5","11","10","5","0","0","0","0","0","43"
"WEBSTER","9","2","3","3","3","2","0","4","4","0","0","30"
"WILKINSON","0","1","1","0","0","0","0","0","0","0","0","2"
"WINSTON","2","0","1","7","13","15","2","1","0","0","0","41"
"YALOBUSHA","7","3","2","4","2","2","0","0","0","0","0","20"
"YAZOO","4","2","5","10","10","7","0","0","0","0","0","38"
"TOTALS","409","401","409","605","543","411","150","75","122","195","3","3,323"
