"status","count","percent_of_total"
"Probation","19,262","67.56%"
"Compact Probation","1,062","3.72%"
"Nonadjudicated","612","2.15%"
"Post Release","1,300","4.56%"
"PROBATION TOTAL","22,236","77.99%"
"Parole","1,935","6.79%"
"Compact Parole","409","1.43%"
"Suspension","0","0.00%"
"COMMUNITY INMATE TOTAL","2,344","8.22%"
"Intensive Supervision Program - Court","2,036","7.14%"
"Intensive Supervision Program - Prison","599","2.10%"
"Earned Release Supervision","1,297","4.55%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","3,932","13.79%"
"TOTAL","28,512","100.00%"
