"status","count","percent_of_total"
"Probation","16,242","53.69%"
"Probation - Compact","1,215","4.02%"
"Probation - Nonadjudicated","1,909","6.31%"
"Probation - Post Release","5,024","16.61%"
"PROBATION TOTAL","24,390","80.62%"
"Parole","2,006","6.63%"
"Parole - Compact","495","1.64%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2,501","8.27%"
"Intensive Supervision Program - Court","1,288","4.26%"
"Intensive Supervision Program - Prison","291","0.96%"
"Earned Release Supervision","1,774","5.86%"
"Medical Release","10","0.03%"
"COMMUNITY INMATE TOTAL","3,363","11.12%"
"TOTAL","30,254","100.00%"
