"status","count","percent_of_total"
"Probation","10,392","36.47%"
"Probation - Compact","1,300","4.56%"
"Probation - Nonadjudicated","2,911","10.22%"
"Probation - Post Release","7,997","28.07%"
"PROBATION TOTAL","22,600","79.32%"
"Parole","2,352","8.26%"
"Parole - Compact","470","1.65%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2,822","9.90%"
"Intensive Supervision Program - Court","956","3.36%"
"Intensive Supervision Program - Prison","246","0.86%"
"Earned Release Supervision","1,832","6.43%"
"Medical Release","35","0.12%"
"COMMUNITY INMATE TOTAL","3,069","10.77%"
"TOTAL","28,491","100.00%"
