"status","count","percent_of_total"
"Probation","10476","29.47%"
"Probation - Compact","995","2.80%"
"Probation - Nonadjudicated","4121","11.59%"
"Probation - Post Release","10313","29.01%"
"PROBATION TOTAL","25905","72.86%"
"Parole","6286","17.68%"
"Parole - Compact","319","0.90%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6605","18.58%"
"Intensive Supervision Program - Court","1146","3.22%"
"Intensive Supervision Program - Prison","426","1.20%"
"Earned Release Supervision","1428","4.02%"
"Medical Release","44",".12%"
"COMMUNITY INMATE TOTAL","3044","8.56%"
"TOTAL","35554","100.00%"
