"status","count","percent_of_total"
"Probation","10334","29.36%"
"Probation - Compact","1008","2.86%"
"Probation - Nonadjudicated","4060","11.54%"
"Probation - Post Release","10184","28.94%"
"PROBATION TOTAL","25586","72.70%"
"Parole","6222","17.68%"
"Parole - Compact","330","0.94%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6552","18.62%"
"Intensive Supervision Program - Court","1178","3.35%"
"Intensive Supervision Program - Prison","392","1.11%"
"Earned Release Supervision","1443","4.10%"
"Medical Release","45",".13%"
"COMMUNITY INMATE TOTAL","3058","8.69%"
"TOTAL","35196","100.00%"
