"status","count","percent_of_total"
"Probation","10,661","36.55%"
"Probation - Compact","1,305","4.47%"
"Probation - Nonadjudicated","2,909","9.97%"
"Probation - Post Release","8,177","28.03%"
"PROBATION TOTAL","23,052","79.03%"
"Parole","2,515","8.62%"
"Parole - Compact","490","1.68%"
"PAROLE TOTAL","3,005","10.30%"
"Intensive Supervision Program - Court","1,000","3.43%"
"Intensive Supervision Program - Prison","226","0.77%"
"Earned Release Supervision","1,852","6.35%"
"Medical Release","35","0.12%"
"COMMUNITY INMATE TOTAL","3,113","10.67%"
"TOTAL","29,170","100.00%"
