"status","count","percent_of_total"
"Probation","11247","39.72%"
"Probation - Compact","1244","4.39%"
"Probation - Nonadjudicated","2741","9.68%"
"Probation - Post Release","7635","26.97%"
"PROBATION TOTAL","22867","80.77%"
"Parole","2015","7.12%"
"Parole - Compact","478","1.69%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2493","8.81%"
"Intensive Supervision Program - Court","938","3.31%"
"Intensive Supervision Program - Prison","250","0.88%"
"Earned Release Supervision","1752","6.19%"
"Medical Release","13","0.05%"
"COMMUNITY INMATE TOTAL","2953","10.43%"
"TOTAL","28313","100.00%"
