"status","count","percent_of_total"
"Probation","9523","23.90%"
"Probation - Compact","1125","2.82%"
"Probation - Nonadjudicated","4243","10.65%"
"Probation - Post Release","15216","38.19%"
"PROBATION TOTAL","30107","75.57%"
"Parole","6241","15.67%"
"Parole - Compact","274","0.69%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6515","16.35%"
"Intensive Supervision Program - Court","1096","2.75%"
"Intensive Supervision Program - Prison","470","1.18%"
"Earned Release Supervision","1624","4.08%"
"Medical Release","27",".07%"
"COMMUNITY INMATE TOTAL","3217","8.08%"
"TOTAL","39839","100.00%"
