status,count,percent_of_total
probation,5508,15.85%
compact_probation,1238,3.56%
nonadjudicated,3412,9.82%
post_release,14533,41.83%
TVC_probation,143,0.41%
probation_total,24834,71.47%
parole,7742,22.28%
compact_parole,577,1.66%
suspension,0,0.00%
TVC_parole,102,0.29%
parole_total,8421,24.24%
ISP_court,722,2.08%
ISP_prison,27,0.08%
earned_release_supervision,626,1.80%
medical_release,11,0.03%
FTR_monitoring,6,0.02%
transitional_housing,4,0.01%
RRP,92,0.26%
conditional_release,3,0.009%
community_inmate_total,1491,6.69%
total,34746,100.00%
