status,count,percent_of_total
probation,5253,15.56%
compact_probation,1387,4.11%
nonadjudicated,3248,9.62%
post_release,13269,39.30%
TVC_probation,133,0.39%
probation_total,23290,68.98%
parole,8141,24.11%
compact_parole,622,1.84%
suspension,0,0.00%
TVC_parole,325,0.96%
parole_total,9088,26.92%
ISP_court,732,2.17%
ISP_prison,46,0.14%
earned_release_supervision,583,1.73%
medical_release,14,0.04%
FTR_monitoring,6,0.02%
conditional_release,3,0.009%
community_inmate_total,1384,4.10%
total,33762,100.00%
