"status","count","percent_of_total"
"Probation","9,212","23.18%"
"Probation - Compact","1,283","3.23%"
"Probation - Nonadjudicated","4,224","10.63%"
"Probation - Post Release","15,217","38.30%"
"PROBATION TOTAL","29,936","75.34%"
"Parole","6,116","15.39%"
"Parole - Compact","367","0.92%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6,483","16.32%"
"Intensive Supervision Program - Court","1,102","2.77%"
"Intensive Supervision Program - Prison","516","1.30%"
"Earned Release Supervision","1,670","4.20%"
"Medical Release","26",".07%"
"COMMUNITY INMATE TOTAL","3,314","8.34%"
"TOTAL","39,733","100.00%"
