type,count,percent_of_total
probation,5505,15.85%
compact_probation,1349,3.88%
nonadjudicated,3424,9.86%
post_release,14124,40.67%
TVC_probation,87,0.25%
probation_total,24489,70.51%
parole,8127,23.40%
compact_parole,626,1.80%
suspension,0,0.00%
TVC_parole,166,0.48%
parole_total,8919,25.68%
ISP_court,662,1.91%
ISP_prison,31,0.09%
earned_release_supervision,611,1.76%
medical_release,12,0.03%
FTR_monitoring,6,0.02%
conditional_release,0,0.000%
community_inmate_total,1322,3.81%
total,34730,100.00%
