type,count,percent_of_total
probation,5442,15.92%
compact_probation,1363,3.99%
nonadjudicated,3369,9.86%
post_release,13746,40.22%
TVC_probation,77,0.23%
probation_total,23997,70.21%
parole,8104,23.71%
compact_parole,622,1.82%
suspension,0,0.00%
TVC_parole,126,0.37%
parole_total,8852,25.90%
ISP_court,703,2.06%
ISP_prison,40,0.12%
earned_release_supervision,565,1.65%
medical_release,13,0.04%
FTR_monitoring,5,0.01%
conditional_release,3,0.009%
community_inmate_total,1329,3.89%
total,34178,100.00%
