"status","count","percent_of_total"
"Probation","9957","30.26%"
"Probation - Compact","1069","3.25%"
"Probation - Nonadjudicated","3753","11.41%"
"Probation - Post Release","9583","29.12%"
"PROBATION TOTAL","24362","74.04%"
"Parole","5350","16.26%"
"Parole - Compact","370","1.12%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","5720","17.38%"
"Intensive Supervision Program - Court","1035","3.15%"
"Intensive Supervision Program - Prison","405","1.23%"
"Earned Release Supervision","1348","4.10%"
"Medical Release","36","0.11%"
"COMMUNITY INMATE TOTAL","2824","8.58%"
"TOTAL","32906","100.00%"
