"status","count","percent_of_total"
"Probation","18008","58.02%"
"Probation - Compact","1246","4.01%"
"Probation - Nonadjudicated","1770","5.70%"
"Probation - Post Release","4037","13.01%"
"PROBATION TOTAL","25061","80.74%"
"Parole","1970","6.35%"
"Parole - Compact","511","1.65%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2481","7.99%"
"Intensive Supervision Program - Court","1308","4.21%"
"Intensive Supervision Program - Prison","349","1.12%"
"Earned Release Supervision","1832","5.90%"
"Medical Release","8","0.03%"
"COMMUNITY INMATE TOTAL","3497","11.27%"
"TOTAL","31039","100.00%"
