"status","count","percent_of_total"
"Probation","10,284","27.25%"
"Probation - Compact","1,024","2.71%"
"Probation - Nonadjudicated","4,279","11.34%"
"Probation - Post Release","12,291","32.57%"
"PROBATION TOTAL","27,878","73.87%"
"Parole","6,435","17.05%"
"Parole - Compact","322","0.85%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6,757","17.91%"
"Intensive Supervision Program - Court","1,112","2.95%"
"Intensive Supervision Program - Prison","455","1.21%"
"Earned Release Supervision","1,505","3.99%"
"Medical Release","30",".08%"
"COMMUNITY INMATE TOTAL","3,102","8.22%"
"TOTAL","37,737","100.00%"
