"status","count","percent_of_total"
"Probation","9635","24.44%"
"Probation - Compact","1132","2.87%"
"Probation - Nonadjudicated","4183","10.61%"
"Probation - Post Release","14471","36.70%"
"PROBATION TOTAL","29421","74.62%"
"Parole","6437","16.33%"
"Parole - Compact","263","0.67%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6700","16.99%"
"Intensive Supervision Program - Court","1142","2.90%"
"Intensive Supervision Program - Prison","512","1.30%"
"Earned Release Supervision","1628","4.13%"
"Medical Release","25",".06%"
"COMMUNITY INMATE TOTAL","3307","8.39%"
"TOTAL","39428","100.00%"
