type,count,percent_of_total
probation,5464,16.05%
compact_probation,1362,4.00%
nonadjudicated,3314,9.73%
post_release,13695,40.23%
TVC_probation,81,0.24%
probation_total,23916,70.25%
parole,8010,23.53%
compact_parole,612,1.80%
suspension,0,0.00%
TVC_parole,158,0.46%
parole_total,8780,25.79%
ISP_court,689,2.02%
ISP_prison,36,0.11%
earned_release_supervision,601,1.77%
medical_release,15,0.04%
FTR_monitoring,5,0.01%
conditional_release,3,0.009%
community_inmate_total,1349,3.96%
total,34045,100.00%
