"status","count","percent_of_total"
"Probation","10538","36.42%"
"Probation - Compact","1320","4.56%"
"Probation - Nonadjudicated","2967","10.26%"
"Probation - Post Release","8085","27.95%"
"PROBATION TOTAL","22910","79.19%"
"Parole","2447","8.46%"
"Parole - Compact","488","1.69%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2935","10.14%"
"Intensive Supervision Program - Court","992","3.43%"
"Intensive Supervision Program - Prison","219","0.76%"
"Earned Release Supervision","1841","6.36%"
"Medical Release","34","0.12%"
"COMMUNITY INMATE TOTAL","3086","10.67%"
"TOTAL","28931","100.00%"
