"status","count","percent_of_total"
"Probation","10102","26.09%"
"Probation - Compact","1070","2.76%"
"Probation - Nonadjudicated","4304","11.12%"
"Probation - Post Release","12954","33.46%"
"PROBATION TOTAL","28430","73.43%"
"Parole","6668","17.22%"
"Parole - Compact","300","0.77%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6968","18.00%"
"Intensive Supervision Program - Court","1215","3.14%"
"Intensive Supervision Program - Prison","427","1.10%"
"Earned Release Supervision","1656","4.28%"
"Medical Release","23",".06%"
"COMMUNITY INMATE TOTAL","3321","8.58%"
"TOTAL","38719","100.00%"
