status,count,percent_of_total
probation,5403,15.77%
compact_probation,1256,3.67%
nonadjudicated,3352,9.79%
post_release,14147,41.30%
TVC_probation,117,0.34%
probation_total,24275,70.87%
parole,7856,22.94%
compact_parole,582,1.70%
suspension,0,0.00%
TVC_parole,108,0.32%
parole_total,8546,24.95%
ISP_court,712,2.08%
ISP_prison,31,0.09%
earned_release_supervision,666,1.94%
medical_release,12,0.04%
FTR_monitoring,6,0.02%
transitional_housing,0,0.00%
conditional_release,3,0.009%
community_inmate_total,1430,6.69%
total,34251,100.00%
