status,count,percent_of_total
probation,5444,16.02%
compact_probation,1344,3.95%
nonadjudicated,3271,9.63%
post_release,13640,40.14%
TVC_probation,93,0.27%
probation_total,23792,70.01%
parole,8049,23.69%
compact_parole,602,1.77%
suspension,0,0.00%
TVC_parole,192,0.56%
parole_total,8843,26.02%
ISP_court,690,2.03%
ISP_prison,37,0.11%
earned_release_supervision,599,1.76%
medical_release,14,0.04%
FTR_monitoring,5,0.01%
conditional_release,3,0.009%
community_inmate_total,1348,3.97%
total,33983,100.00%
