"status","count","percent_of_total"
"Probation","10450","28.09%"
"Probation - Compact","1043","2.80%"
"Probation - Nonadjudicated","4301","11.56%"
"Probation - Post Release","11441","30.75%"
"PROBATION TOTAL","27235","73.20%"
"Parole","6487","17.44%"
"Parole - Compact","342","0.92%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6829","18.36%"
"Intensive Supervision Program - Court","1181","3.17%"
"Intensive Supervision Program - Prison","454","1.22%"
"Earned Release Supervision","1468","3.95%"
"Medical Release","37",".10%"
"COMMUNITY INMATE TOTAL","3140","8.44%"
"TOTAL","37204","100.00%"
