type,count,percent_of_total
probation,5259,15.66%
compact_probation,1362,4.05%
nonadjudicated,3258,9.70%
post_release,13142,39.12%
TVC_probation,122,0.36%
probation_total,23143,68.90%
parole,8128,24.20%
compact_parole,602,1.79%
suspension,0,0.00%
TVC_parole,357,1.06%
parole_total,9087,27.05%
ISP_court,717,2.13%
ISP_prison,37,0.11%
earned_release_supervision,583,1.74%
medical_release,14,0.04%
FTR_monitoring,6,0.02%
conditional_release,3,0.009%
community_inmate_total,1360,4.05%
total,33590,100.00%
