"status","count","percent_of_total"
"Probation","8,707","20.45%"
"Probation - Compact","1,393","3.27%"
"Probation - Nonadjudicated","4,259","10.00%"
"Probation - Post Release","16,966","39.85%"
"PROBATION TOTAL","31,325","73.58%"
"Parole","7,722","18.14%"
"Parole - Compact","525","1.23%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","8,247","19.37%"
"Intensive Supervision Program - Court","1,094","2.57%"
"Intensive Supervision Program - Prison","453","1.06%"
"Earned Release Supervision","1,431","3.36%"
"Medical Release","24",".06%"
"COMMUNITY INMATE TOTAL","3,002","7.05%"
"TOTAL","42,574","100.00%"
