"status","count","percent_of_total"
"Probation","10378","31.21%"
"Probation - Compact","1126","3.39%"
"Probation - Nonadjudicated","3689","11.10%"
"Probation - Post Release","9591","28.85%"
"PROBATION TOTAL","24784","74.54%"
"Parole","5215","15.68%"
"Parole - Compact","377","1.13%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","5592","16.82%"
"Intensive Supervision Program - Court","1046","3.15%"
"Intensive Supervision Program - Prison","368","1.11%"
"Earned Release Supervision","1424","4.28%"
"Medical Release","35","0.11%"
"COMMUNITY INMATE TOTAL","2873","8.64%"
"TOTAL","33249","100.00%"
