"status","count","percent_of_total"
"Probation","10,106","51.65%"
"Compact Probation","1,037","5.30%"
"Nonadjudicated","1,869","9.55%"
"Post Release","2,212","11.30%"
"PROBATION TOTAL","15,224","77.80%"
"Parole","1,449","7.41%"
"Compact Parole","404","2.06%"
"Suspension","8","0.04%"
"PAROLE TOTAL","1,861","9.51%"
"Intensive Supervision Program - Court","1,168","5.97%"
"Intensive Supervision Program - Prison","264","1.35%"
"Earned Release Supervision","1,050","5.37%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","2,482","12.68%"
"TOTAL","19,567","100.00%"
