status,count,percent_of_total
probation,5402,15.84%
compact_probation,1344,3.94%
nonadjudicated,3333,9.78%
post_release,13752,40.33%
TVC_probation,70,0.21%
probation_total,23901,70.10%
parole,8178,23.99%
compact_parole,601,1.76%
suspension,0,0.00%
TVC_parole,116,0.34%
parole_total,8895,26.09%
ISP_court,657,1.93%
ISP_prison,43,0.13%
earned_release_supervision,578,1.70%
medical_release,12,0.04%
FTR_monitoring,5,0.01%
conditional_release,4,0.012%
community_inmate_total,1299,3.81%
total,34095,100.00%
