type,count,percent_of_total
probation,5687,16.03%
compact_probation,1277,3.60%
nonadjudicated,3596,10.14%
post_release,14037,39.57%
TVC_probation,115,0.32%
probation_total,24712,69.66%
parole,8611,24.27%
compact_parole,513,1.45%
suspension,0,0.00%
TVC_parole,168,0.47%
parole_total,9292,26.19%
ISP_court,809,2.28%
ISP_prison,67,0.19%
earned_release_supervision,568,1.60%
medical_release,16,0.05%
FTR_monitoring,6,0.02%
conditional_release,3,0.008%
community_inmate_total,1469,4.14%
total,35473,100.00%
