"status","count","percent_of_total"
"Probation","9,693","25.05%"
"Probation - Compact","1,017","2.63%"
"Probation - Nonadjudicated","4,139","10.70%"
"Probation - Post Release","13,852","35.80%"
"PROBATION TOTAL","28,701","74.19%"
"Parole","6,528","16.87%"
"Parole - Compact","268","0.69%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6,796","17.57%"
"Intensive Supervision Program - Court","1,104","2.85%"
"Intensive Supervision Program - Prison","453","1.17%"
"Earned Release Supervision","1,612","4.17%"
"Medical Release","22",".06%"
"COMMUNITY INMATE TOTAL","3,191","8.25%"
"TOTAL","38,688","100.00%"
