status,count,percent_of_total
probation,5395,15.68%
compact_probation,1230,3.58%
nonadjudicated,3326,9.67%
post_release,14221,41.34%
TVC_probation,132,0.38%
probation_total,24304,70.65%
parole,7853,22.83%
compact_parole,571,1.66%
suspension,0,0.00%
TVC_parole,113,0.33%
parole_total,8537,24.82%
ISP_court,722,2.10%
ISP_prison,37,0.11%
earned_release_supervision,674,1.96%
medical_release,12,0.03%
FTR_monitoring,6,0.02%
transitional_housing,2,0.01%
RRP,105,0.31%
conditional_release,3,0.009%
community_inmate_total,1561,6.69%
total,34402,100.00%
