"status","count","percent_of_total"
"Probation","11459","48.95%"
"Compact Probation","1054","4.50%"
"Nonadjudicated","2321","9.91%"
"Post Release","4151","17.73%"
"PROBATION TOTAL","18985","81.10%"
"Parole","1399","5.98%"
"Compact Parole","408","1.74%"
"Suspension","6","0.03%"
"PAROLE TOTAL","1813","7.74%"
"Intensive Supervision Program - Court","1029","4.40%"
"Intensive Supervision Program - Prison","343","1.47%"
"Earned Release Supervision","1240","5.30%"
"Medical Release","0","0.00%"
"COMMUNITY INMATE TOTAL","2612","11.16%"
"TOTAL","23410","100.00%"
