"status","count","percent_of_total"
"Probation","10,727","28.97%"
"Probation - Compact","1,031","2.78%"
"Probation - Nonadjudicated","4,353","11.76%"
"Probation - Post Release","11,112","30.01%"
"PROBATION TOTAL","27,223","73.52%"
"Parole","6,319","17.06%"
"Parole - Compact","339","0.92%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6,658","17.98%"
"Intensive Supervision Program - Court","1,181","3.19%"
"Intensive Supervision Program - Prison","467","1.26%"
"Earned Release Supervision","1,459","3.94%"
"Medical Release","42",".11%"
"COMMUNITY INMATE TOTAL","3,149","8.50%"
"TOTAL","37,030","100.00%"
