"status","count","percent_of_total"
"Probation","10687","35.31%"
"Probation - Compact","1255","4.15%"
"Probation - Nonadjudicated","3200","10.57%"
"Probation - Post Release","8547","28.24%"
"PROBATION TOTAL","23689","78.26%"
"Parole","3180","10.51%"
"Parole - Compact","454","1.50%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","3634","12.01%"
"Intensive Supervision Program - Court","954","3.15%"
"Intensive Supervision Program - Prison","186","0.61%"
"Earned Release Supervision","1770","5.85%"
"Medical Release","35","0.12%"
"COMMUNITY INMATE TOTAL","2945","9.73%"
"TOTAL","30268","100.00%"
