"status","count","percent_of_total"
"Probation","10075","30.60%"
"Probation - Compact","1091","3.31%"
"Probation - Nonadjudicated","3736","11.35%"
"Probation - Post Release","9546","29.00%"
"PROBATION TOTAL","24448","74.26%"
"Parole","5238","15.91%"
"Parole - Compact","373","1.13%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","5611","17.04%"
"Intensive Supervision Program - Court","1056","3.21%"
"Intensive Supervision Program - Prison","357","1.08%"
"Earned Release Supervision","1415","4.30%"
"Medical Release","35","0.11%"
"COMMUNITY INMATE TOTAL","2863","8.70%"
"TOTAL","32922","100.00%"
