"status","count","percent_of_total"
"Probation","10196","29.37%"
"Probation - Compact","1016","2.93%"
"Probation - Nonadjudicated","3953","11.39%"
"Probation - Post Release","9943","28.64%"
"PROBATION TOTAL","25108","72.32%"
"Parole","6217","17.91%"
"Parole - Compact","336","0.97%"
"Parole - Suspension","0",".00%"
"PAROLE TOTAL","6553","18.87%"
"Intensive Supervision Program - Court","1152","3.32%"
"Intensive Supervision Program - Prison","407","1.17%"
"Earned Release Supervision","1456","4.19%"
"Medical Release","44",".13%"
"COMMUNITY INMATE TOTAL","3059","8.81%"
"TOTAL","34720","100.00%"
