"status","count","percent_of_total"
"Probation","12737","43.18%"
"Probation - Compact","1240","4.20%"
"Probation - Nonadjudicated","2624","8.90%"
"Probation - Post Release","7655","25.95%"
"PROBATION TOTAL","24256","82.23%"
"Parole","1936","6.56%"
"Parole - Compact","490","1.66%"
"Parole - Suspension","0","0.00%"
"PAROLE TOTAL","2426","8.22%"
"Intensive Supervision Program - Court","919","3.12%"
"Intensive Supervision Program - Prison","238","0.81%"
"Earned Release Supervision","1652","5.60%"
"Medical Release","8","0.03%"
"COMMUNITY INMATE TOTAL","2817","9.55%"
"TOTAL","29499","100.00%"
