type,count,percent_of_total
probation,5418,15.90%
compact_probation,1360,3.99%
nonadjudicated,3324,9.75%
post_release,13599,39.90%
TVC_probation,100,0.29%
probation_total,23801,69.84%
parole,8065,23.67%
compact_parole,602,1.77%
suspension,0,0.00%
TVC_parole,240,0.70%
parole_total,8907,26.14%
ISP_court,711,2.09%
ISP_prison,33,0.10%
earned_release_supervision,605,1.78%
medical_release,14,0.04%
FTR_monitoring,5,0.01%
conditional_release,3,0.009%
community_inmate_total,1371,4.02%
total,34079,100.00%
