type,count,percent_of_total
probation,5554,16.21%
compact_probation,1218,3.55%
nonadjudicated,3475,10.14%
post_release,14691,42.87%
TVC_probation,151,0.44%
probation_total,25089,73.21%
parole,7187,20.97%
compact_parole,563,1.64%
suspension,0,0.00%
TVC_parole,78,0.23%
parole_total,7828,22.84%
ISP_court,700,2.04%
ISP_prison,21,0.06%
earned_release_supervision,555,1.62%
medical_release,11,0.03%
FTR_monitoring,4,0.01%
transitional_housing,1,0.00%
RRP,61,0.18%
conditional_release,2,0.006%
community_inmate_total,1355,6.69%
total,34272,100.00%
