"FEMALE","","","","",""
"OFFENSES","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"Aggravated Assault","59","29","0","0","88"
"Burglary","65","129","0","1","195"
"Homicide","50","44","0","1","95"
"Manslaughter","81","41","1","0","123"
"Property","335","405","5","2","747"
"Possession of Drugs","111","370","3","0","484"
"Robbery","73","39","0","1","113"
"Sale of Drugs","133","165","0","0","298"
"Sex Offense","11","39","0","2","52"
"Violent","21","27","1","0","49"
"TOTAL","939","1,288","10","7","2,244"
