"Program Area","Enrollment Capacity","Program Length"
"GED","14","16 Weeks"
"Academic Basic Education (Literacy)","14","N/A"
"Basic Computer","6","4 Months"
"Basic Electrical/Plumbing Course","12","150 Days"
"Basic Heating, Air Conditioning","12","6 Months"
