"Program Area","Enrollment Capacity","Program Length"
"ABE","60","N/A"
"Alcohol & Drug (Short-Term)","120","12 Weeks"
"Basic Computer","48","N/A"
"Carpentry","60","3 Months"
"Discipleship","65","10-12 Weeks"
"GED","60","12 Months"
"Intermediate Computer","48","N/A"
"Pre-Release","14","12 Weeks"
