"Program Area","Enrollment Capacity","Program Length"
"ABE","80","N/A"
"Alcohol & Drug (Long Term)","40","6 Months"
"Alcohol & Drug (Short Term)","120","12 Weeks"
"Bibles Study","66","51 Weeks"
"Character Development","45","8 Weeks"
"Choice and Changes","45","12 Weeks"
"Coping with Anger","45","8 Sessions"
"Discipleship","50","10-12 Weeks"
"GED/Computer Aided Instruction","60","N/A"
"NCCER Facility Care & Painting","40","6 Months"
"Thinking for Good","15","10 Modules"
"Untangling Relationships","45","12 Sessions"
