"LOCATION","SERVED","COMPLETED","CAPACITY"
"(MSP) Therapeutic Community (Unit 30)","1077","375","432"
"(MSP) Special Needs (Disability Unit 31)","9","4","20"
"(MSP) Security Threat Group (Unit 29-A)","19","0","N/A"
"(CMCF) A&D Program for Females","347","112","175"
"(CMCF) A&D Program for Males (Disability Unit)","20","10","16"
"(SMCI) Regimented Inmate Discipline Area","215","172","Open Entry/Exit"
"(SMCI) General Population Program Area","863","398","200"
"3 Community Pre-Release Centers","250","116","132"
"Flowood CWC (General Population)","N/A","N/A","N/A"
"14 Community Work Centers (Alcoholics Anonymous)","N/A","N/A","N/A"
