"Program Area","Enrollment Capacity","Program Length"
"Academic Basic Education","25","12 Months"
"Advanced Literacy","10","N/A"
"Alcohol & Drug (Long-Term)","50","36 Weeks"
"Basic Computer","20","3 Months"
"Bible Study","25","On-Going"
"Discipleship","170","6 Months"
"GED","25","12 Months"
"Horticulture","15","20 Weeks"
"Life Skills (Phase I and II)","8","3 Months Each Phase"
"Literacy","10","12 Months"
