"Year","Fiscal Year","Fiscal Year","Calendar Year","Calendar Year"
"","# of Dozens","Cash Value","# of Dozens","Cash Value"
"2007","480,050","$378,687","482,799","$482,575"
"2008","551,900","$671,324","555,813","$680,539"
"2009","581,140","$654,250","567,524","$613,049"
"2010","517,477","$512,937","533,289","$508,892"
"2011","528,272","$520,560","487,029","$508,895"
"2012","476,804","$483,331","436,468","$483,174"
"2013","312,909","$370,667","159,514","$219,138"
"2014","158,640","$200,815","209,490","$258,037"
"2015","199,650","$247,898","N/A","N/A"
