"Program Area [(D) Day, (N) Night]","Enrollment Capacity","Program Length"
"Adult Basic Education (Literacy, ABE, GED)","150","N/A"
"Agri-Business Horticulture","15 (D)15(N)","1,750 Hours"
"Alcohol & Drug (Short-Term)","20","12 Weeks"
"Auto/Automotive Body Repairer","15(D)15(N)","1,600 Hours"
"Auto/Automotive Mechanic/Technician","15(D)15(N)","1,750 Hours"
"Carpentry","15(D)15(N)","1,750 Hours"
"Cognitive Behavior Education","120","500 Hours"
"Culinary Arts","15(D)","1,600 Hours"
"Diesel Equipment Repair & Services","15(D)","1200 Hours"
"Electricity","15(D)15(N)","1,450 Hours"
"Electronic Servicing","15(D)","1,900 Hours"
"Faith-Based Initiative","65","N/A"
"Heating, Air Conditioning & Refrigeration","15(D)15(N)","1,900 Hours"
"Mississippi Prison Writes Course","12","3 Hour Semester"
"Pre-Release","240","3 Months"
"Small Engine Repair","15(D)15(N)","1,600 Hours"
"Therapeutic Community (Long Term)","432","6-12 Months"
"Welding","15(D)15(N)","1,400 Hours"
