"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","AGGRAVATED ASSUALT OFFENSES","VIOLENT OFFENSES","SEX OFFENSES","TOTAL"
"MSP","781","779","159","1,193","481"
"CMCF","874","1,066","166","811","337"
"SMCI","676","787","174","1,035","536"
"County Jails (approved)","786","627","26","75","34"
"Youthful Offender Facility","0","5","0","21","5"
"County Jails (unapproved)","122","172","21","33","26"
"Private Prisons","491","907","282","2,030","592"
"Regional Correctional Facilities","974","1,125","321","1,204","797"
"Community Work Centers","913","596","1","4","0"
"Community Trusties","0","0","0"
"Pending File Review","8","0","1","8","1"
"Court Order","161","166","8","39","13"
"TOTAL CUSTODY POPULATION","5,832","6,263","1,159","6,453","2,822"
"% OF TOTAL OFFENSES","25.89%","27.80%","5.14%","28.64%","12.53%"
"Intensive Supervison Program","707","830","17","44","7"
"Earned Release Supervision","511","581","199","385","5","6 4
3 3"
