"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","AGGRAVATED ASSUALT OFFENSES","VIOLENT OFFENSES","SEX OFFENSES","TOTAL"
"MSP","770","764","164","1,190","493"
"CMCF","891","1,098","187","817","331"
"SMCI","677","831","176","1,037","523"
"County Jails (approved)","744","630","23","41","27"
"Youthful Offender Facility","0","7","0","25","4"
"County Jails (unapproved)","124","168","12","46","14"
"Private Prisons","533","939","286","2,035","614"
"Regional Correctional Facilities","974","1,122","310","1,220","801"
"Community Work Centers","886","577","1","2","0"
"Community Trusties","0","0","0"
"Pending File Review","1","1","0","2","0"
"Court Order","133","140","9","41","13"
"TOTAL CUSTODY POPULATION","5,772","6,302","1,168","6,456","2,820"
"% OF TOTAL OFFENSES","25.63%","27.99%","5.19%","28.67%","12.52%"
"Intensive Supervison Program","710","808","14","46","6"
"Earned Release Supervision","490","552","185","390","6","9 3
5 2"
