"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","AGGRAVATED ASSUALT OFFENSES","VIOLENT OFFENSES","SEX OFFENSES","TOTAL"
"MSP","768","762","163","1,177","492"
"CMCF","855","1,080","172","817","322"
"SMCI","681","813","181","1,038","524"
"County Jails (approved)","794","665","25","57","24"
"Youthful Offender Facility","0","7","0","24","3"
"County Jails (unapproved)","144","194","18","30","16"
"Private Prisons","530","931","283","2,042","611"
"Regional Correctional Facilities","972","1,118","302","1,229","807"
"Community Work Centers","848","552","2","2","0"
"Community Trusties","0","0","0"
"Pending File Review","3","7","3","6","2"
"Court Order","131","153","11","43","18"
"TOTAL CUSTODY POPULATION","5,763","6,316","1,160","6,465","2,819"
"% OF TOTAL OFFENSES","25.59%","28.04%","5.15%","28.70%","12.52%"
"Intensive Supervison Program","669","785","14","45","7"
"Earned Release Supervision","489","588","190","394","7","7 3
4 3"
