"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","AGGRAVATED ASSUALT OFFENSES","VIOLENT OFFENSES","SEX OFFENSES","TOTAL"
"MSP","761","773","169","1,174","493"
"CMCF","921","1,050","164","813","334"
"SMCI","676","827","175","1,026","523"
"County Jails (approved)","757","645","25","63","24"
"Youthful Offender Facility","0","6","1","27","4"
"County Jails (unapproved)","185","219","16","30","27"
"Private Prisons","526","918","290","2,043","615"
"Regional Correctional Facilities","950","1,117","311","1,253","804"
"Community Work Centers","840","556","2","3","0"
"Community Trusties","0","0","0"
"Pending File Review","0","9","0","2","0"
"Court Order","110","116","14","40","14"
"TOTAL CUSTODY POPULATION","5,753","6,249","1,167","6,474","2,838"
"% OF TOTAL OFFENSES","25.59%","27.80%","5.19%","28.80%","12.62%"
"Intensive Supervison Program","691","826","13","44","7"
"Earned Release Supervision","473","570","193","386","9","7 2
3 1"
