"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","AGGRAVATED ASSUALT OFFENSES","VIOLENT OFFENSES","SEX OFFENSES","TOTAL"
"MSP","756","761","164","1,187","470"
"CMCF","871","1,013","154","800","318"
"SMCI","696","801","184","1,007","531"
"Youthful Offender Facility","0","4","0","17","5"
"County Jails (approved)","784","643","17","64","32"
"County Jails (unapproved)","137","200","13","34","13"
"Private Prisons","482","868","282","2,074","608"
"Regional Correctional Facilities","950","1,125","308","1,179","789"
"Community Work Centers","924","594","0","4","0"
"Community Trusties","0","0","0"
"Pending File Review","1","8","0","5","3"
"Court Order","126","148","9","40","16"
"TOTAL CUSTODY POPULATION","5,773","6,181","1,131","6,411","2,785"
"% OF TOTAL OFFENSES","25.91%","27.74%","5.08%","28.77%","12.50%"
"Intensive Supervison Program","721","776","17","46","6"
"Earned Release Supervision","495","539","194","390","6","6 4
6 1"
