"type","count","percent_of_total"
"Custody Population (Inmate and RRP status)","19306","36.15%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1360","2.55%"
"Other Custody","465",".87%"
"At Large (Escapees & Walk-Aways)","25",".05%"
"Off-Grounds Medical (Hospital)","18",".03%"
"INMATE TOTAL","21174","39.65%"
"PAROLEES","8730","16.35%"
"TVC Parole","357","0.67%"
"PROBATIONERS","23021","43.11%"
"TVC Probation","122","0.23%"
"PAROLEE AND PROBATIONER TOTAL","32230","60.35%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","53404","100.00%"
