"type","count","percent_of_total"
"Custody Population (Inmate and RRP status)","19087","34.69%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1395","2.54%"
"Other Custody","488",".89%"
"At Large (Escapees & Walk-Aways)","24",".04%"
"Off-Grounds Medical (Hospital)","15",".03%"
"INMATE TOTAL","21009","38.18%"
"PAROLEES","9167","16.66%"
"TVC Parole","263","0.48%"
"PROBATIONERS","24457","44.45%"
"TVC Probation","131","0.24%"
"PAROLEE AND PROBATIONER TOTAL","34018","61.82%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","55027","100.00%"
