"type","count","percent_of_total"
"Custody Population (Inmate and RID status)","18,926","35.22%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Transitional Housing, RRP, Failure to Report)","1,355","2.52%"
"Other Custody","506",".94%"
"At Large (Escapees & Walk-Aways)","28",".05%"
"Off-Grounds Medical (Hospital)","9",".02%"
"INMATE TOTAL","20,824","38.75%"
"PAROLEES","7,750","14.42%"
"TVC Parole","78","0.15%"
"PROBATIONERS","24,938","46.40%"
"TVC Probation","151","0.28%"
"PAROLEE AND PROBATIONER TOTAL","32,917","61.25%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS ","53,741","100.00%"
