"type","count","percent_of_total"
"Custody Population (Inmate and RID status)","18570","34.72%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, RRP, Failure to Report, Bond Monitoring, Contempt)","1563","2.92%"
"Other Custody","467",".87%"
"At Large (Escapees & Walk-Aways)","29",".05%"
"Off-Grounds Medical (Hospital)","9",".02%"
"INMATE TOTAL","20638","38.59%"
"PAROLEES","8424","15.75%"
"TVC Parole","113","0.21%"
"PROBATIONERS","24172","45.20%"
"TVC Probation","132","0.25%"
"PAROLEE AND PROBATIONER TOTAL","32841","61.41%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","53479","100.00%"
