"type","count","percent_of_total"
"Custody Population (Inmate and RRP status)","19215","35.79%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1348","2.51%"
"Other Custody","444",".83%"
"At Large (Escapees & Walk-Aways)","28",".05%"
"Off-Grounds Medical (Hospital)","14",".03%"
"INMATE TOTAL","21049","39.21%"
"PAROLEES","8651","16.11%"
"TVC Parole","192","0.36%"
"PROBATIONERS","23699","44.15%"
"TVC Probation","93","0.17%"
"PAROLEE AND PROBATIONER TOTAL","32635","60.79%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","53684","100.00%"
