"type","count","percent_of_total"
"Custody Population (Inmate and RRP status)","18946","35.39%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1299","2.43%"
"Other Custody","450",".84%"
"At Large (Escapees & Walk-Aways)","29",".05%"
"Off-Grounds Medical (Hospital)","14",".03%"
"INMATE TOTAL","20738","38.74%"
"PAROLEES","8779","16.40%"
"TVC Parole","116","0.22%"
"PROBATIONERS","23831","44.52%"
"TVC Probation","70","0.13%"
"PAROLEE AND PROBATIONER TOTAL","32796","61.26%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","53534","100.00%"
