"type","count","percent_of_total"
"Custody Population (Inmate and RID status)","19,080","32.21%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release)","1,624","2.74%"
"Other Custody","523",".88%"
"At Large (Escapees & Walk-Aways)","27",".05%"
"Off-Grounds Medical (Hospital)","4",".01%"
"INMATE TOTAL","21,258","35.89%"
"PAROLEES","7,499","12.66%"
"TVC Parole","131","0.22%"
"PROBATIONERS","30,192","50.97%"
"TVC Probation","153","0.26%"
"PAROLEE AND PROBATIONER TOTAL","37,975","64.11%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","59,233","100.00%"
