"type","count","percent_of_total"
"Custody Population (Inmate and RRP status)","19377","35.92%"
"Community Corrections (ERS, ISP, Medical Release, Conditional Release, Failure to Report)","1371","2.54%"
"Other Custody","445",".83%"
"At Large (Escapees & Walk-Aways)","26",".05%"
"Off-Grounds Medical (Hospital)","12",".02%"
"INMATE TOTAL","21231","39.36%"
"PAROLEES","8667","16.07%"
"TVC Parole","240","0.44%"
"PROBATIONERS","23701","43.94%"
"TVC Probation","100","0.19%"
"PAROLEE AND PROBATIONER TOTAL","32708","60.64%"
"TOTAL INMATES, PAROLEES, & PROBATIONERS","53939","100.00%"
